1,0,2,8,,2,0,1,9001
1,0,3,8,,2,0,1,9001
1,0,4,8,,2,0,1,9001
1,0,5,8,,2,0,1,9001
1,0,6,8,,2,0,2,9002
1,0,7,8,,2,0,2,9002
1,0,8,8,,2,0,2,9002
1,0,9,8,,2,0,2,9002
1,0,2,9,,2,0,1,9001
1,0,3,9,,2,0,1,9001
1,0,4,9,,2,0,1,9001
1,0,5,9,,2,0,1,9001
1,0,6,9,,2,0,2,9002
1,0,7,9,,2,0,2,9002
1,0,8,9,,2,0,2,9002
1,0,9,9,,2,0,2,9002
1,0,2,10,,2,0,1,9001
1,0,3,10,,2,0,1,9001
1,0,4,10,,2,0,1,9001
1,0,5,10,,2,0,1,9001
1,0,6,10,,2,0,2,9002
1,0,7,10,,2,0,2,9002
1,0,8,10,,2,0,2,9002
1,0,9,10,,2,0,2,9002
1,0,2,11,,2,0,1,9001
1,0,3,11,,2,0,1,9001
1,0,4,11,,2,0,1,9001
1,0,5,11,,2,0,1,9001
1,0,6,11,,2,0,2,9002
1,0,7,11,,2,0,2,9002
1,0,8,11,,2,0,2,9002
1,0,9,11,,2,0,2,9002
1,12,4,14,,2,0,3,9001
1,12,5,14,,2,0,3,9001
1,12,6,14,,2,0,3,9001
1,12,7,14,,2,0,3,9001
1,12,4,15,,2,0,3,9001
1,12,5,15,,2,0,3,9001
1,12,6,15,,2,0,3,9001
1,12,7,15,,2,0,3,9001
