1,キャンペーン・期間限定
2,おすすめネタ
3,にぎり１
4,にぎり２
5,シャリハーフあり商品
6,一貫提供商品
7,軍艦・巻物
8,サイドメニューなど
9,デザート・ドリンク
10,お持ち帰り商品＆ランチ
